iwc_id,Product,Type,Unit,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
BH1427-1-1-TPA-XX-BA-XX-T1-19-T2-19-F1-0-F2-20,qP_GREENTONSPA,Yield,per acre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.64688|41.43695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BH1427-1-1-TPA-XX-BA-XX-T1-19-T2-19-F1-0-F2-20,qP_TOP4M3PA,Yield,per acre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.47228|48.40021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BH1427-1-1-TPA-XX-BA-XX-T1-19-T2-19-F1-0-F2-20,H_GREENTONSPA,Yield,per acre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03902,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BH1427-1-1-TPA-XX-BA-XX-T1-19-T2-19-F1-0-F2-20,H_TOP4M3PA,Yield,per acre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.91169,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BH1427-1-1-TPA-XX-BA-XX-T1-19-T2-20-F1-0-F2-0,P_GREENTONSPA,Yield,per acre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.70656,104.40542,68.09932,72.61012,76.24734,79.71054,82.83933,85.14337,87.22829,89.08863,91.51147,93.21,94.81077,96.57906,98.03928,98.72259,99.96124,100.32266,101.0201,102.17774,102.58523,102.84018,103.18362,103.44324,103.87298,104.23663,104.71732,105.11263,105.28239,104.91339,105.37914,105.44642,105.42143,105.42143,105.42143,105.42143,105.42143,105.42143,105.42143,105.42143,105.42143,105.42143,105.42143,105.42143,105.42143,105.42143,105.42143,105.42143,105.42143,105.42143,105.42143,105.42143,105.42143,105.42143,105.42143,105.42143,105.42143,105.42143,105.42143,105.42143,105.42143
BH1427-1-1-TPA-XX-BA-XX-T1-19-T2-20-F1-0-F2-0,P_TOP4M3PA,Yield,per acre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.80925,121.57836,80.46587,85.6755,90.76285,95.45365,99.977,103.6375,108.35099,112.6546,117.00254,121.1912,125.23847,129.23739,133.14838,135.9242,139.47333,143.18738,146.72424,150.53749,154.04293,157.36522,160.58572,163.8236,166.99914,170.15988,173.12069,176.17223,178.98901,180.63749,183.44939,186.37552,189.03914,189.03914,189.03914,189.03914,189.03914,189.03914,189.03914,189.03914,189.03914,189.03914,189.03914,189.03914,189.03914,189.03914,189.03914,189.03914,189.03914,189.03914,189.03914,189.03914,189.03914,189.03914,189.03914,189.03914,189.03914,189.03914,189.03914,189.03914,189.03914
BH1427-1-1-TPA-XX-BA-XX-T1-19-T2-20-F1-0-F2-0,qP_GREENTONSPA,Yield,per acre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.43695,42.16025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BH1427-1-1-TPA-XX-BA-XX-T1-19-T2-20-F1-0-F2-0,qP_TOP4M3PA,Yield,per acre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.40021,48.50348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BH1427-1-1-TPA-XX-BA-XX-T1-19-T2-20-F1-0-F2-0,H_GREENTONSPA,Yield,per acre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BH1427-1-1-TPA-XX-BA-XX-T1-19-T2-20-F1-0-F2-0,H_TOP4M3PA,Yield,per acre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.91169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
