species,origin,si_class,growth_period,mgmt_trajectory,leading_species,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,yield_curve_id
LB,NN,SI50,current,T1-0-T2-0-F1-0-F2-0,Softwood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.483506942,160.3484360505,164.858423537,169.4548977735,173.90903953,178.3177633875,182.828640452,186.914225101,191.30520681949997,194.48517635399998,198.3883728025,202.378649053,206.45568386899998,210.68698633649998,214.2826111915,218.58972547300002,218.58972547300002,218.58972547300002,218.58972547300002,218.58972547300002,218.58972547300002,218.58972547300002,218.58972547300002,218.58972547300002,218.58972547300002,218.58972547300002,218.58972547300002,218.58972547300002,218.58972547300002,218.58972547300002,218.58972547300002,218.58972547300002,218.58972547300002,218.58972547300002,218.58972547300002,218.58972547300002,218.58972547300002,218.58972547300002,218.58972547300002,15
LB,NN,SI50,current,T1-0-T2-0-F1-0-F2-0,Hardwood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.186543813,48.3594616305,50.3499912475,52.593284569,54.759604683,57.086147679,59.2894099905,61.7128181465,64.09033890399999,66.50675398850001,69.234570794,71.7479004595,74.4894810135,77.364028768,80.2021038245,82.97027287649999,82.97027287649999,82.97027287649999,82.97027287649999,82.97027287649999,82.97027287649999,82.97027287649999,82.97027287649999,82.97027287649999,82.97027287649999,82.97027287649999,82.97027287649999,82.97027287649999,82.97027287649999,82.97027287649999,82.97027287649999,82.97027287649999,82.97027287649999,82.97027287649999,82.97027287649999,82.97027287649999,82.97027287649999,82.97027287649999,82.97027287649999,16
LB,PY,SI80,current,T1-0-T2-0-F1-0-F2-0,Softwood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.6328858275,232.030013528,252.7036826955,272.5295593185,292.6909056895,309.3395556435,327.4746410145,344.5802869555,361.556721692,377.85954819849997,391.053645542,407.48037049550004,421.28494074149995,436.67189727600004,447.474932508,463.4260297575,475.91180061849997,486.58036130949995,499.657034357,512.5576698025,523.1300078065,534.280447958,545.4178409655,556.3557461065,566.051182597,576.8035365935,587.821429623,598.4428673905,607.219073281,616.3279319225,624.2548626385001,633.792893244,644.4003942895,654.163685813,657.308344043,666.883465109,676.7078904095,685.331039463,691.336135752,698.7360656344999,698.7360656344999,698.7360656344999,698.7360656344999,698.7360656344999,698.7360656344999,698.7360656344999,698.7360656344999,698.7360656344999,698.7360656344999,698.7360656344999,698.7360656344999,698.7360656344999,698.7360656344999,698.7360656344999,698.7360656344999,698.7360656344999,698.7360656344999,698.7360656344999,698.7360656344999,698.7360656344999,698.7360656344999,698.7360656344999,698.7360656344999,698.7360656344999,698.7360656344999,698.7360656344999,698.7360656344999,698.7360656344999,17
LB,PY,SI80,current,T1-0-T2-0-F1-0-F2-0,Hardwood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5732279175,2.873732308,3.1328713215,3.3552164005,3.575164561,3.762470151,3.9225200595,4.0860047275,4.2219618985,4.385372435,4.7716716815,4.90108057,5.002146515000001,5.1223136765,5.234276952,5.4207176745000005,5.5199056215,5.7477364315,6.43560262,6.533505621,6.6187321355,6.724591917500001,9.181038012,9.2894923965,9.391126683,9.531778849,9.639615470999999,9.7302782955,9.812243024,9.931594739000001,10.0184027255,10.118504961000001,10.204497501,10.4627469365,10.541524010499998,10.613851644,11.0208088685,11.1181188175,11.185702035,11.253062858,11.253062858,11.253062858,11.253062858,11.253062858,11.253062858,11.253062858,11.253062858,11.253062858,11.253062858,11.253062858,11.253062858,11.253062858,11.253062858,11.253062858,11.253062858,11.253062858,11.253062858,11.253062858,11.253062858,11.253062858,11.253062858,11.253062858,11.253062858,11.253062858,11.253062858,11.253062858,11.253062858,11.253062858,18
LB,PY,SI75,current,T1-0-T2-0-F1-0-F2-0,Softwood,0.0,0.0,0.0,0.0,0.0,46.647740585,78.6238441895,108.02869671650001,134.1980552155,162.9986865965,189.439786464,216.4091474005,241.388621193,265.5606546875,289.5076990795,309.5488535785,333.2442462385,354.929316171,378.0779395975,398.7811378125,419.221688123,434.02851624899995,453.2620080555,472.77522272199997,491.9044856395,509.70709123299997,526.576504794,538.0515420735001,554.24613659,569.552561605,584.4420463535,600.214239583,615.4004974365,628.9472877465,636.6694919700001,650.5940316935,664.005037806,676.1368801755,687.9968823345,701.2080052125,712.290096121,724.668771675,737.3625802355,748.263048969,759.0365798639999,769.7057583175,775.3782512764999,783.363276378,793.1400845449999,803.895477933,803.895477933,803.895477933,803.895477933,803.895477933,803.895477933,803.895477933,803.895477933,803.895477933,803.895477933,803.895477933,803.895477933,803.895477933,803.895477933,803.895477933,803.895477933,803.895477933,803.895477933,803.895477933,803.895477933,803.895477933,803.895477933,803.895477933,803.895477933,803.895477933,803.895477933,803.895477933,803.895477933,803.895477933,19
LB,PY,SI75,current,T1-0-T2-0-F1-0-F2-0,Hardwood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
HH,NN,SI40,current,T1-0-T2-0-F1-0-F2-0,Softwood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.5219137125,72.45407712849999,74.22038366849999,21
HH,NN,SI40,current,T1-0-T2-0-F1-0-F2-0,Hardwood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.9124562325,91.4741937675,93.941660745,22
PH,NN,SI50,current,T1-0-T2-0-F1-0-F2-0,Softwood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.89414737300001,127.321543144,130.8631755565,133.760951181,136.652425628,139.4473067305,141.867823758,144.17039756900002,146.4683999375,149.0079968645,151.5456663725,154.060330405,156.51571394799998,158.9221954115,161.26210678799998,163.5401430725,163.5401430725,163.5401430725,163.5401430725,163.5401430725,163.5401430725,163.5401430725,163.5401430725,163.5401430725,163.5401430725,163.5401430725,163.5401430725,163.5401430725,163.5401430725,163.5401430725,163.5401430725,163.5401430725,163.5401430725,163.5401430725,163.5401430725,163.5401430725,163.5401430725,23
PH,NN,SI50,current,T1-0-T2-0-F1-0-F2-0,Hardwood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.7404909435,60.625383172999996,62.3562301455,63.954999495500005,65.5565364215,66.9891029485,68.37971104649999,69.6327310805,70.9172817125,72.120164142,73.303055777,74.4423828005,75.580177773,76.711572726,77.843857257,78.93341733349999,78.93341733349999,78.93341733349999,78.93341733349999,78.93341733349999,78.93341733349999,78.93341733349999,78.93341733349999,78.93341733349999,78.93341733349999,78.93341733349999,78.93341733349999,78.93341733349999,78.93341733349999,78.93341733349999,78.93341733349999,78.93341733349999,78.93341733349999,78.93341733349999,78.93341733349999,78.93341733349999,78.93341733349999,24
